2437,7.6662
1036
1346
1684
2038
2414
2810
3212
3638
4064
4498
4944
5384
5824
6256
6686
7108
7518
7910
8294
8654
8998
9314
9612
9888
10134
10360
10558
10726
10872
10984
11082
11142
11184
11200
11192
11164
11104
11030
10930
10816
10686
10540
10370
10194
10004
9796
9580
9352
9116
8866
8614
8360
8094
7824
7564
7284
7016
6738
6470
6194
5926
5654
5390
5126
4866
4612
4352
4112
3870
3626
3392
3170
2946
2734
2526
2328
2132
1944
1764
1598
1430
1266
1094
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
