4196.1,-2.8357
1166
1480
1808
2166
2538
2930
3346
3770
4210
4662
5112
5576
6040
6506
6978
7450
7920
8400
8884
9358
9840
10318
10800
11278
11756
12220
12670
13126
13604
14040
14472
14880
15264
15638
15982
16308
16626
16908
17162
17390
17588
17752
17888
17996
18072
18122
18142
18120
18074
17996
17894
17762
17604
17416
17216
16984
16728
16454
16162
15850
15528
15180
14832
14464
14086
13702
13304
12910
12502
12098
11692
11278
10870
10464
10064
9668
9274
8886
8512
8128
7760
7400
7048
6708
6376
6050
5734
5432
5134
4848
4566
4302
4046
3798
3560
3332
3112
2902
2698
2506
2324
2148
1986
1834
1682
1538
1408
1280
1164
1050
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
